"Badlands","恶地"
"Bamboo Jungle","竹林"
"Basalt Deltas","玄武岩三角洲"
"Beach","沙滩"
"Birch Forest","桦木森林"
"Cherry Grove","樱花树林"
"Cold Ocean","冷水海洋"
"Crimson Forest","绯红森林"
"Dark Forest","黑森林"
"Deep Cold Ocean","冷水深海"
"Deep Dark","深暗之域"
"Deep Frozen Ocean","冰冻深海"
"Deep Lukewarm Ocean","温水深海"
"Deep Ocean","深海"
"Desert","沙漠"
"Dripstone Caves","溶洞"
"End Barrens","末地荒地"
"End Highlands","末地高地"
"End Midlands","末地内陆"
"Eroded Badlands","风蚀恶地"
"Flower Forest","繁花森林"
"Forest","森林"
"Frozen Ocean","冻洋"
"Frozen Peaks","冰封山峰"
"Frozen River","冻河"
"Grove","雪林"
"Ice Spikes","冰刺之地"
"Jagged Peaks","尖峭山峰"
"Jungle","丛林"
"Lukewarm Ocean","温水海洋"
"Lush Caves","繁茂洞穴"
"Mangrove Swamp","红树林沼泽"
"Meadow","草甸"
"Mushroom Fields","蘑菇岛"
"Nether Wastes","下界荒地"
"Ocean","海洋"
"Old Growth Birch Forest","原始桦木森林"
"Old Growth Pine Taiga","原始松木针叶林"
"Old Growth Spruce Taiga","原始云杉针叶林"
"Pale Garden","苍白之园"
"Plains","平原"
"River","河流"
"Savanna","热带草原"
"Savanna Plateau","热带高原"
"Small End Islands","末地小型岛屿"
"Snowy Beach","积雪沙滩"
"Snowy Plains","雪原"
"Snowy Slopes","积雪山坡"
"Snowy Taiga","积雪针叶林"
"Soul Sand Valley","灵魂沙峡谷"
"Sparse Jungle","稀疏丛林"
"Stony Peaks","裸岩山峰"
"Stony Shore","石岸"
"Sunflower Plains","向日葵平原"
"Swamp","沼泽"
"Taiga","针叶林"
"The End","末地"
"The Void","虚空"
"Warm Ocean","暖水海洋"
"Warped Forest","诡异森林"
"Windswept Forest","风袭森林"
"Windswept Gravelly Hills","风袭沙砾丘陵"
"Windswept Hills","风袭丘陵"
"Windswept Savanna","风袭热带草原"
"Wooded Badlands","疏林恶地"
"Acacia Button","金合欢木按钮"
"Acacia Door","金合欢木门"
"Acacia Fence","金合欢木栅栏"
"Acacia Fence Gate","金合欢木栅栏门"
"Acacia Hanging Sign","悬挂式金合欢木告示牌"
"Acacia Leaves","金合欢树叶"
"Acacia Log","金合欢原木"
"Acacia Planks","金合欢木板"
"Acacia Pressure Plate","金合欢木压力板"
"Acacia Sapling","金合欢树苗"
"Acacia Sign","金合欢木告示牌"
"Acacia Slab","金合欢木台阶"
"Acacia Stairs","金合欢木楼梯"
"Acacia Trapdoor","金合欢木活板门"
"Acacia Wall Hanging Sign","墙上的悬挂式金合欢木告示牌"
"Acacia Wall Sign","墙上的金合欢木告示牌"
"Acacia Wood","金合欢木"
"Activator Rail","激活铁轨"
"Air","空气"
"Allium","绒球葱"
"Block of Amethyst","紫水晶块"
"Amethyst Cluster","紫水晶簇"
"Ancient Debris","远古残骸"
"Andesite","安山岩"
"Andesite Slab","安山岩台阶"
"Andesite Stairs","安山岩楼梯"
"Andesite Wall","安山岩墙"
"Anvil","铁砧"
"Attached Melon Stem","结果的西瓜茎"
"Attached Pumpkin Stem","结果的南瓜茎"
"Azalea","杜鹃花丛"
"Azalea Leaves","杜鹃树叶"
"Azure Bluet","蓝花美耳草"
"Bamboo","竹子"
"Block of Bamboo","竹块"
"Bamboo Button","竹按钮"
"Bamboo Door","竹门"
"Bamboo Fence","竹栅栏"
"Bamboo Fence Gate","竹栅栏门"
"Bamboo Hanging Sign","悬挂式竹告示牌"
"Bamboo Mosaic","竹马赛克"
"Bamboo Mosaic Slab","竹马赛克台阶"
"Bamboo Mosaic Stairs","竹马赛克楼梯"
"Bamboo Planks","竹板"
"Bamboo Pressure Plate","竹压力板"
"Bamboo Shoot","竹笋"
"Bamboo Sign","竹告示牌"
"Bamboo Slab","竹台阶"
"Bamboo Stairs","竹楼梯"
"Bamboo Trapdoor","竹活板门"
"Bamboo Wall Hanging Sign","墙上的悬挂式竹告示牌"
"Bamboo Wall Sign","墙上的竹告示牌"
"Barrel","木桶"
"Barrier","屏障"
"Basalt","玄武岩"
"Beacon","信标"
"Primary Power","主效果"
"Secondary Power","辅助效果"
"Bedrock","基岩"
"Bee Nest","蜂巢"
"Beehive","蜂箱"
"Beetroots","甜菜根"
"Bell","钟"
"Big Dripleaf","大型垂滴叶"
"Big Dripleaf Stem","大型垂滴叶茎"
"Birch Button","白桦木按钮"
"Birch Door","白桦木门"
"Birch Fence","白桦木栅栏"
